_id,active,name,description,type,volume,volume._id,volume.volume,volume.unit,amount,dimensions,weight_in_kg,is_sample_data
63c00c489e45801732ee7d9a,TRUE,Absetzer 7er offen,,,,63c00c489e458090cdee7d9b,,cbm,0,,,FALSE
63c0fa12d04baba4c7cd6e6d,TRUE,6 Paletten Salz,,,,63c0fa12d04babf168cd6e6e,,cbm,0,,,FALSE
63c10a431d4adb3b43d83757,TRUE,Kunden-Container 10 cbm,,,,63cd865d18543ad6029376c0,10,cbm,3,,,
63c10aca1d4adb72cfd840fd,TRUE,Kunden-Container  7 cbm,,,,63cd868918543a3b6f9376f9,7,cbm,6,,,
63c1164e1d4adb19efd91c27,TRUE,Kunden-Container  5 cbm,,,,63cd86b718543a863593772d,5,cbm,4,,,
63c11ed94d0eed93f7279afd,TRUE,Kunden-Container 20 cbm,,,,63cd86df18543a9ca7937949,20,cbm,1,,,FALSE
63c12569d04bab115ed07e85,TRUE,Kunden-Container 3 cbm,,,,63c12ad8d04bab4048d10c0f,3,cbm,5,,,FALSE
63c12999d04babb1c0d0f19b,TRUE,Kunden-Presse,,,,63c12ac1d04bab7da2d10a86,10,cbm,1,,,FALSE
63c12f36d04bab0323d16640,TRUE,7cbm,,,,63c12f36d04bab65a1d16641,,cbm,25,,,FALSE
63c164d54d0eed09452b26ba,FALSE,Container 9CBM,,,,63c165014d0eed1aa92b2ebb,9,cbm,5,,,
63c164fcd04bab3a7fd43bb6,TRUE,Absetzcontainer,mit* oder ohne Bauschutt-Klappe,,,63c164fcd04bab685cd43bb7,7,cbm,5,,,
63c165171d4adbbd37dd4cba,TRUE,Absetzcontainer,mit* oder ohne Bauschutt-Klappe,,,63c165171d4adb2c23dd4cbb,10,cbm,10,,,
63c1652ed04bab781cd43e24,TRUE,Absetzcontainer,mit* oder ohne Bauschutt-Klappe,,,63c1652ed04bab70d6d43e25,12,cbm,5,,,
63c165874d0eed5fce2b3806,TRUE,Abrollcontainer,,,,63c165874d0eed30142b3807,15,cbm,5,,,
63c165921d4adb019cdd4f4c,TRUE,Abrollcontainer,,,,63c165921d4adb6807dd4f4d,20,cbm,5,,,
63c165a0d04bab3d81d44386,TRUE,Abrollcontainer,,,,63c165a0d04babbce7d44387,30,cbm,5,,,
63c165c24d0eedb04e2b44e0,TRUE,Abrollcontainer,,,,63c165c24d0eedd39f2b44e1,40,cbm,5,,,
63c17adad04babc6b2d4f7c5,TRUE,7cbm Deckel,,,,63c17adad04babf481d4f7c6,,cbm,10,,,FALSE
63c1c3f1d04bab49abd546ca,TRUE,13209 - Mit Silojet,,,,63c1c3f1d04bab457cd546cb,13,cbm,1,,,
63c283d2d04bab28ccd6b99f,TRUE,Absetzcontainer 20 cbm ,,,,63c283d2d04bab26b2d6b9a0,,cbm,0,,,FALSE
63c50c721d4adb50efe288a4,TRUE, 6 cbm,,,,63c50c721d4adb801ae288a5,,cbm,0,,,FALSE
63c542d4b706f065e70306f4,FALSE,"8,0 to  Bagger",,,,63c8e8b948b0e8d9b39e6671,,cbm,0,,,FALSE
